timestamp,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4
0.0000,1.91,16.73,28.13,40.59,22.63,17.16,8.58,1.64,-9.03,-11.31,-5.70,-3.09,5.42,8.02
0.0078,18.37,30.86,38.64,35.84,15.42,13.02,-2.80,-2.43,-16.93,-17.12,-9.08,-3.16,9.48,10.22
0.0156,31.37,29.99,29.19,20.42,5.24,-5.35,-8.89,-11.98,-14.53,-9.79,3.37,7.92,14.60,16.69
0.0234,27.94,22.18,16.71,2.28,-4.55,-12.46,-13.00,-11.07,-7.17,0.16,17.01,24.87,25.80,21.19
0.0313,19.86,11.32,-0.57,-6.69,-10.00,-12.91,-8.21,-1.67,5.81,19.12,29.34,31.80,26.12,21.52
0.0391,14.94,11.36,2.05,-12.06,-8.39,-3.61,-1.79,5.65,16.85,29.09,36.78,30.39,22.35,8.57
0.0469,14.02,8.56,-1.21,-6.44,-4.42,-1.41,9.12,13.36,21.69,32.19,30.69,16.67,1.63,-8.35
0.0547,11.90,4.27,-1.54,-8.51,-2.90,-1.51,9.10,15.67,24.26,21.96,18.09,6.56,-5.33,-21.24
0.0625,0.84,-4.28,-12.81,-13.66,-1.19,-0.90,6.25,10.58,25.51,20.29,7.96,-2.66,-19.50,-23.33
0.0703,-13.13,-14.25,-19.48,-16.57,-0.26,8.05,13.26,17.20,21.46,16.77,4.12,-8.91,-22.36,-18.79
0.0781,-20.18,-20.88,-9.52,-4.00,11.26,11.89,27.34,18.75,18.72,10.72,-2.39,-14.14,-22.37,-19.04
0.0859,-11.32,-4.68,3.05,13.75,18.37,22.05,21.16,19.75,14.90,-2.02,-14.92,-18.92,-20.93,-21.59
0.0938,5.86,17.07,23.99,30.53,26.69,24.30,24.11,10.56,0.07,-10.00,-27.47,-31.30,-28.67,-15.07
0.1016,21.91,27.28,27.21,32.88,16.03,18.23,8.66,-0.72,-12.85,-25.08,-28.89,-27.47,-19.27,-2.75
0.1094,22.07,25.91,24.84,21.70,10.08,18.00,-4.66,-11.62,-23.38,-26.71,-20.36,-10.79,-3.32,7.43
0.1172,17.17,17.84,11.31,3.91,5.04,-5.23,-9.08,-6.37,-15.66,-17.60,-11.08,1.08,7.79,20.96
0.1250,10.70,8.48,4.19,-2.80,-1.14,-1.03,-2.10,-3.72,-8.66,-5.18,6.84,11.57,13.63,15.44
0.1328,17.12,11.11,3.24,-0.35,2.14,4.52,0.96,0.90,-1.76,5.64,10.16,14.56,15.08,8.98
