time,AF3,F7,F3,FC5,T7,P7,O1
0.000,40.396,41.372,44.034,41.971,43.714,43.207,40.781
0.008,56.404,52.513,54.197,54.608,53.124,55.337,57.053
0.016,62.504,63.582,61.945,63.459,62.237,61.396,60.380
0.023,61.904,61.126,62.093,63.357,62.899,62.370,61.205
0.031,59.042,58.609,61.059,56.131,60.661,58.106,57.440
0.039,53.236,52.702,55.070,52.320,53.358,52.506,54.043
0.047,50.200,51.069,51.492,50.101,53.454,54.816,53.744
0.055,50.956,53.356,52.842,52.576,51.523,52.793,51.325
0.062,46.930,49.696,48.488,49.611,46.512,49.469,49.166
0.070,45.642,41.911,45.373,43.094,42.398,45.700,46.415
0.078,42.750,38.412,39.584,41.357,42.234,40.165,41.308
0.086,41.868,43.268,43.323,40.401,42.476,41.175,42.965
0.094,51.548,50.944,49.433,49.263,49.357,49.828,49.241
0.102,61.037,63.174,62.606,60.716,63.727,63.991,64.817
0.109,74.624,71.967,75.916,75.321,74.257,72.482,76.174
0.117,77.477,77.125,78.493,76.566,79.075,75.843,76.233
0.125,73.451,74.210,72.599,74.953,74.186,73.419,77.204
0.133,67.835,68.948,69.563,69.063,68.900,69.571,68.984
0.141,61.036,63.468,62.845,62.830,64.602,64.413,61.053
0.148,58.729,59.369,57.054,58.512,58.088,60.038,59.763
0.156,56.274,54.457,53.191,55.721,58.200,57.729,58.028
0.164,49.238,51.345,50.251,49.012,51.283,50.735,47.766
0.172,44.898,44.532,42.945,43.095,41.297,41.342,41.750
0.180,35.150,38.499,37.345,39.729,35.493,40.381,39.774
0.188,39.839,38.576,37.049,36.132,38.327,39.400,38.629
0.195,47.481,46.609,46.808,47.889,45.365,43.772,45.718
0.203,54.725,58.082,58.444,55.410,57.017,55.449,55.848
0.211,63.167,65.588,64.681,62.390,61.810,61.163,62.013
0.219,66.595,62.467,63.216,62.450,62.454,64.286,62.115
0.227,58.050,57.047,56.976,54.967,56.729,60.429,59.818
0.234,49.659,48.792,52.663,50.310,50.231,50.872,52.868
0.242,45.788,42.221,45.399,42.940,40.902,42.125,42.762
0.250,40.194,39.606,38.817,37.844,37.862,38.671,37.997
0.258,36.011,35.368,31.734,34.493,34.006,35.827,33.796
0.266,25.404,26.200,26.411,25.615,28.614,25.723,25.598
0.273,21.917,19.542,20.408,21.313,19.467,18.654,19.255
0.281,12.516,12.312,13.130,12.563,15.508,14.465,13.621
0.289,13.633,18.418,17.057,16.477,14.658,13.364,17.355
0.297,25.913,26.344,23.040,24.405,24.256,25.132,26.562
0.305,32.932,34.517,32.926,37.404,35.833,35.439,36.246
0.312,38.891,42.621,40.557,40.049,43.180,40.205,40.602
0.320,41.683,41.291,43.245,40.786,41.139,43.104,42.091
0.328,34.112,32.981,33.773,34.496,35.418,37.470,34.519
0.336,27.951,27.161,28.477,28.714,26.360,27.273,29.563
0.344,22.949,22.487,21.543,23.920,23.343,23.970,23.821
0.352,17.466,20.988,18.161,19.840,19.408,16.656,21.307
0.359,14.616,14.375,16.648,14.828,14.459,16.061,13.957
0.367,7.902,8.325,9.621,9.537,12.653,12.705,10.293
0.375,3.266,3.271,5.498,2.898,5.272,6.321,3.979
0.383,4.222,2.085,4.714,2.622,2.497,3.894,2.205
0.391,7.937,6.701,7.321,10.508,9.741,8.948,8.629
0.398,19.137,21.311,19.135,17.534,19.526,19.336,20.893
0.406,32.158,32.721,30.016,30.840,32.788,29.468,32.196
0.414,41.880,40.163,42.294,37.825,40.290,39.377,39.450
0.422,41.992,41.376,39.689,41.004,41.793,40.586,39.304
0.430,35.069,33.619,38.373,38.481,38.208,35.094,35.621
0.438,33.018,31.103,30.289,32.416,32.241,30.958,32.459
0.445,31.329,31.855,31.436,30.885,31.682,26.240,29.478
0.453,29.444,30.862,29.588,24.621,27.398,28.812,26.606
0.461,26.426,25.809,27.855,24.388,23.644,29.417,28.290
0.469,23.126,23.311,23.751,24.656,22.694,21.204,22.523
0.477,19.063,20.863,21.680,18.640,19.728,18.840,20.098
0.484,22.484,19.658,19.047,19.305,18.949,20.893,20.019
0.492,26.689,30.825,27.597,31.362,32.203,27.660,27.876
0.500,39.716,43.436,40.534,43.466,43.487,41.686,39.256
0.508,57.308,52.006,55.610,53.072,52.624,55.819,53.805
